Output Power (W)	Diode 1 Current (A)	Diode 2 Temp (C)	Diode 2 Current (A)	LBO Set Temp (C)	Diode 2 Set Temp (C)	Diode 2 Max Current (A)	Diode 1 Set Temp (C)	Power Supply Hours (hr)	Baseplate Temp (C)	LBO Temp (C)	Diode 2 Photocell Voltage (V)	Set Power (W)	Diode 1 RCF	Diode 1 Temp (C)	Diode 1 Photocell Voltage (V)	Diode 2 Heatsink Temp (C)	Vanadate Temp (C)	Diode 1 Max Current (A)	Etalon Temp (C)	Current (A)	Diode 2 RCF	Laser Head Hours (hr)	Diode 2 Hours (hr)	Vanadate Set Temp (C)	Diode 1 Hours (hr)	Diode 1 Heatsink Temp (C)
2016-07-20 15:00:02.693805	2.02290000e+01	5.30000000e+01	2.09300000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18300000e+01	1.49790000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.18600000e+01	3.23000000e+00	3.32600000e+01	3.00600000e+01	6.71600000e+01	4.49900000e+01	5.47600000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.30700000e+01
2016-07-20 15:00:03.095453	1.98920000e+01	5.30000000e+01	2.02100000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18600000e+01	1.49790000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.15200000e+01	3.24000000e+00	3.37200000e+01	3.00600000e+01	6.71600000e+01	4.50000000e+01	5.48100000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.31700000e+01
2016-07-20 15:00:03.497283	1.98500000e+01	5.30000000e+01	2.08200000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18800000e+01	1.49780000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.15200000e+01	3.25000000e+00	3.30800000e+01	3.00600000e+01	6.71600000e+01	4.50000000e+01	5.46000000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.30500000e+01
2016-07-20 15:00:03.899311	2.01450000e+01	5.30000000e+01	2.09800000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18400000e+01	1.49650000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.18000000e+01	3.22000000e+00	3.42800000e+01	3.00400000e+01	6.71600000e+01	4.49700000e+01	5.47500000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.24400000e+01
2016-07-20 15:00:04.205454	2.01030000e+01	5.30000000e+01	2.09800000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18400000e+01	1.49830000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.20800000e+01	3.22000000e+00	3.37800000e+01	3.00700000e+01	6.71600000e+01	4.49700000e+01	5.45900000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.30000000e+01
2016-07-20 15:00:04.607377	2.00600000e+01	5.30000000e+01	2.08100000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18700000e+01	1.49830000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.18100000e+01	3.22000000e+00	3.34100000e+01	3.00400000e+01	6.71600000e+01	4.49600000e+01	5.47300000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.30500000e+01
2016-07-20 15:00:05.019887	2.01970000e+01	5.30000000e+01	2.11700000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18800000e+01	1.49860000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.18100000e+01	3.24000000e+00	3.35400000e+01	3.00400000e+01	6.71600000e+01	4.49900000e+01	5.47700000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.30300000e+01
2016-07-20 15:00:05.397339	2.00500000e+01	5.30000000e+01	2.09400000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18700000e+01	1.49800000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.15500000e+01	3.24000000e+00	3.32800000e+01	3.00800000e+01	6.71600000e+01	4.49900000e+01	5.46800000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.31700000e+01
2016-07-20 15:00:05.737380	2.02610000e+01	5.30000000e+01	2.11800000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18400000e+01	1.49770000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.23700000e+01	3.26000000e+00	3.34100000e+01	3.00500000e+01	6.71600000e+01	4.49700000e+01	5.47700000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.24500000e+01
2016-07-20 15:00:06.139357	1.98390000e+01	5.30000000e+01	2.11800000e+01	4.90000000e+01	1.49800000e+02	2.11700000e+01	6.25600000e+01	2.20000000e+01	6.37596000e+03	3.18600000e+01	1.49800000e+02	5.00000000e+00	2.00000000e+01	0.00000000e+00	2.25700000e+01	3.22000000e+00	3.42400000e+01	3.00400000e+01	6.71600000e+01	4.50000000e+01	5.47300000e+01	0.00000000e+00	6.37596000e+03	4.02088000e+03	3.00000000e+01	2.74850000e+03	3.27700000e+01
