Diode 1 Set Temp (C)	Set Power (W)	Diode 1 RCF	Diode 1 Max Current (A)	Output Power (W)	Vanadate Temp (C)	Diode 2 Temp (C)	Diode 2 Photocell Voltage (V)	Baseplate Temp (C)	Current (A)	Diode 2 Current (A)	Diode 2 Max Current (A)	Laser Head Hours (hr)	Diode 1 Temp (C)	Diode 1 Photocell Voltage (V)	LBO Temp (C)	Diode 1 Heatsink Temp (C)	LBO Set Temp (C)	Diode 1 Current (A)	Vanadate Set Temp (C)	Diode 2 RCF	Power Supply Hours (hr)	Diode 1 Hours (hr)	Diode 2 Hours (hr)	Diode 2 Set Temp (C)	Diode 2 Heatsink Temp (C)	Etalon Temp (C)
2016-01-19 05:43:17.660814	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27300000e+01	3.16000000e+00	2.77200000e+01	5.04200000e+01	5.17900000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.72900000e+01
2016-01-19 05:43:18.336460	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27300000e+01	3.16000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.72900000e+01
2016-01-19 05:43:18.795389	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:19.368627	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:20.059664	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.27300000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73200000e+01
2016-01-19 05:43:20.625548	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27300000e+01	3.16000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73200000e+01
2016-01-19 05:43:21.290232	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27300000e+01	3.17000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47540000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73000000e+01
2016-01-19 05:43:21.891583	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	2.99900000e+01	2.27300000e+01	3.15000000e+00	2.77200000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47540000e+02	3.31300000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73000000e+01
2016-01-19 05:43:22.606043	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73000000e+01
2016-01-19 05:43:23.163341	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	2.99900000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.95000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73000000e+01
